paragraph_id,paragraph,entity_text,entity_type,score
1,"Elon Musk announced that Tesla would build a new gigafactory near Berlin, Germany. The project has been approved by local authorities.",Elon Musk,Organization,0.9989700317382812
1,"Elon Musk announced that Tesla would build a new gigafactory near Berlin, Germany. The project has been approved by local authorities.",Tesla,Organization,0.5506481528282166
1,"Elon Musk announced that Tesla would build a new gigafactory near Berlin, Germany. The project has been approved by local authorities.",Berlin,Location,0.9995543360710144
1,"Elon Musk announced that Tesla would build a new gigafactory near Berlin, Germany. The project has been approved by local authorities.",Germany,Location,0.9997001886367798
2,Apple released its latest iPhone at a launch event in Cupertino. Tim Cook highlighted the new camera features during the keynote.,Apple,Organization,0.998602569103241
2,Apple released its latest iPhone at a launch event in Cupertino. Tim Cook highlighted the new camera features during the keynote.,Cupertino,Location,0.9989773035049438
2,Apple released its latest iPhone at a launch event in Cupertino. Tim Cook highlighted the new camera features during the keynote.,Tim Cook,Person,0.9997717142105103
3,The United Nations Climate Summit in Paris brought together leaders from over 100 countries. Antonio Guterres opened with a speech on urgency.,Paris,Location,0.9995970129966736
3,The United Nations Climate Summit in Paris brought together leaders from over 100 countries. Antonio Guterres opened with a speech on urgency.,Antonio Guterres,Person,0.9997258186340332
4,Researchers at MIT and Stanford published a joint paper on quantum computing. Dr. Emily Zhang led the Stanford team.,MIT,Organization,0.9982653260231018
4,Researchers at MIT and Stanford published a joint paper on quantum computing. Dr. Emily Zhang led the Stanford team.,Stanford,Organization,0.9988875985145569
4,Researchers at MIT and Stanford published a joint paper on quantum computing. Dr. Emily Zhang led the Stanford team.,Emily Zhang,Person,0.9996048808097839
4,Researchers at MIT and Stanford published a joint paper on quantum computing. Dr. Emily Zhang led the Stanford team.,Stanford,Organization,0.9972496628761292
5,"Amazon expanded its warehouse operations in Manchester, England. The company plans to hire 2,000 new workers by next year.",Amazon,Organization,0.9987679123878479
5,"Amazon expanded its warehouse operations in Manchester, England. The company plans to hire 2,000 new workers by next year.",Manchester,Location,0.9985771179199219
5,"Amazon expanded its warehouse operations in Manchester, England. The company plans to hire 2,000 new workers by next year.",England,Location,0.9992838501930237
6,President Biden met with Chancellor Scholz in Washington to discuss NATO expansion and defense spending.,Biden,Person,0.9994988441467285
6,President Biden met with Chancellor Scholz in Washington to discuss NATO expansion and defense spending.,Scholz,Person,0.9995585083961487
6,President Biden met with Chancellor Scholz in Washington to discuss NATO expansion and defense spending.,Washington,Location,0.9994789958000183
6,President Biden met with Chancellor Scholz in Washington to discuss NATO expansion and defense spending.,NATO,Organization,0.9960362315177917
7,Google DeepMind achieved a breakthrough in protein structure prediction. Demis Hassabis presented the findings at a London conference.,Google DeepMind,Organization,0.9933674335479736
7,Google DeepMind achieved a breakthrough in protein structure prediction. Demis Hassabis presented the findings at a London conference.,Demis Hassabis,Person,0.9996092915534973
7,Google DeepMind achieved a breakthrough in protein structure prediction. Demis Hassabis presented the findings at a London conference.,London,Location,0.99937504529953
8,Samsung unveiled new Galaxy devices at Mobile World Congress in Barcelona. The event drew attention from tech journalists worldwide.,Samsung,Organization,0.9985876083374023
8,Samsung unveiled new Galaxy devices at Mobile World Congress in Barcelona. The event drew attention from tech journalists worldwide.,Barcelona,Location,0.9986128807067871
9,The European Central Bank raised interest rates again. Christine Lagarde warned about persistent inflation in the eurozone.,European Central Bank,Organization,0.9994442462921143
9,The European Central Bank raised interest rates again. Christine Lagarde warned about persistent inflation in the eurozone.,Christine Lagarde,Person,0.9995839595794678
10,Netflix announced a partnership with Studio Ghibli to stream their films globally. Reed Hastings called it a milestone for the platform.,Netflix,Organization,0.9985643029212952
10,Netflix announced a partnership with Studio Ghibli to stream their films globally. Reed Hastings called it a milestone for the platform.,Studio Ghibli,Organization,0.9798463582992554
10,Netflix announced a partnership with Studio Ghibli to stream their films globally. Reed Hastings called it a milestone for the platform.,Reed Hastings,Person,0.9996700286865234
11,"SpaceX launched another batch of Starlink satellites from Cape Canaveral, Florida. Gwynne Shotwell oversaw the mission operations.",SpaceX,Organization,0.9992080330848694
11,"SpaceX launched another batch of Starlink satellites from Cape Canaveral, Florida. Gwynne Shotwell oversaw the mission operations.",Starlink,Organization,0.9065496921539307
11,"SpaceX launched another batch of Starlink satellites from Cape Canaveral, Florida. Gwynne Shotwell oversaw the mission operations.",Cape Canaveral,Location,0.9967077374458313
11,"SpaceX launched another batch of Starlink satellites from Cape Canaveral, Florida. Gwynne Shotwell oversaw the mission operations.",Florida,Location,0.9993228912353516
11,"SpaceX launched another batch of Starlink satellites from Cape Canaveral, Florida. Gwynne Shotwell oversaw the mission operations.",Gwynne Shotwell,Person,0.9994122982025146
